,Title,Brand,design,conn,Use,Num_reviews,rating,Price,country,segment
634,audifonos inalambricos jbl endurance sprint rojo,JBL,Headphones,bluetooth,No-gamer,96.0,4.5,269900,USA,high-end
636,audifonos logitech h151 negro,LOGITECH,Headphones,wire,No-gamer,89.0,4.5,129295,Swiss,high-end
638,audifonos inalambricos xiaomi redmi buds 3 lite,XIAOMI,Headphones,bluetooth,No-gamer,0.0,4.5,112000,China,Mobil accessories
640,audifonos sony true wireless tipo earbuds | wf-c500,SONY,in-ear,wire,No-gamer,0.0,4.5,549899,Japan,high-end
642,audifono manos libres v8 conducir bluetooth 5.0 microfono,OTHER,in-ear,bluetooth,No-gamer,0.0,4.5,54900,China,Other
643,audifonos inalambricos jbl tune 110bt blue,JBL,Headphones,bluetooth,No-gamer,98.0,4.5,138500,USA,high-end
647,audifonos in-ear sony ex series mdr-ex15lp rosa,SONY,in-ear,wire,No-gamer,245.0,4.5,26900,Japan,high-end
648,audifonos sony zx series mdr-zx310 gray,SONY,Headphones,wire,No-gamer,0.0,4.5,228900,Japan,high-end
649,audifonos inalambricos conduccion osea lenovo x4 bluetooth,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,195900,China,Mobil accessories
650,audifonos inalambricos aftershokz openmove rosa,AFTERSHOKZ,Headphones,bluetooth,No-gamer,25.0,4.5,439900,USA,high-end
651,new bee auricular manos libre bluetooth v5.0,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,89900,China,Other
654,jbl auriculares inhalambricos endurance race,JBL,Headphones,wire,No-gamer,0.0,4.5,429900,USA,high-end
655,audifono aiwa awf10w con microfono conexion 3.5 mm blanco,OTHER,Headphones,wire,No-gamer,0.0,4.5,19900,China,Other
660,audifonos in-ear inalambricos honor choice blanco,HONOR,in-ear,bluetooth,No-gamer,68.0,4.5,287990,China,Mobil accessories
663,audifonos in-ear inalambricos xiaomi mi airdots pro white,XIAOMI,in-ear,bluetooth,No-gamer,69.0,4.5,386900,China,Mobil accessories
665,audifonos originales samsung s5 s4 cable plano garantia,SAMSUNG,Headphones,wire,No-gamer,0.0,4.5,34990,Korea,Mobil accessories
666,audifonos in-ear inalambricos bose soundsport wireless black,BOSE,in-ear,bluetooth,No-gamer,17.0,4.5,899000,USA,professional
667,audifonos 9d bluetooth m12 5.0 tocuh 2000 mah power bank ,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,94900,China,Other
671,auriculares earbuds n21 tws bt 5.0,OTHER,in-ear,wire,No-gamer,0.0,4.5,59900,China,Other
676,audifonos touch tactil i12 inalambricos bluetooth v 5.0 envi,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,29500,China,Other
678,audifonos ergonomico alambricos stereo blanco 3.5mm + microf,OTHER,Headphones,wire,No-gamer,0.0,4.5,14900,China,Other
681,lenovo-auriculares inalambricos lp2 ,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,110000,China,Mobil accessories
682,"audifono xiaomi redmi buds 3 lite blanco, 100% originales ",XIAOMI,Headphones,wire,No-gamer,0.0,4.5,109999,China,Mobil accessories
685,audifonos jbl tune 230 tws truly wireless,JBL,Headphones,wire,No-gamer,0.0,4.5,449900,USA,high-end
687,audifonos gamer inalambricos logitech g series g935 negro y azul con luz  rgb led,LOGITECH,Headphones,bluetooth,gamer,49.0,4.5,719900,Swiss,high-end
691,audifonos in-ear inalambricos jbl tune 215tws blanco,JBL,in-ear,bluetooth,No-gamer,8.0,4.5,399900,USA,high-end
693,audifonos in-ear inalambricos huawei freelace emerald green,HUAWEI,in-ear,bluetooth,No-gamer,188.0,4.5,339900,China,Mobil accessories
694,audifono inalambrico jbl live 660nc negro,JBL,Headphones,bluetooth,No-gamer,8.0,4.5,619000,USA,high-end
695,"audifonos lenovo xt90 air pods originales, sellados, negro",LENOVO,Headphones,wire,No-gamer,0.0,4.5,82900,China,Mobil accessories
697,audifonos conduccion osea lenovo x3 pro 7 horas 10 mts ip56 ,LENOVO,Headphones,wire,No-gamer,0.0,4.5,179500,China,Mobil accessories
698,auriculares inalambricos over-ear audio-technica ath-m20xbt,AUDIO-TECHNICA,Headphones,bluetooth,No-gamer,0.0,4.5,479000,Japan,professional
699,audifonos lenovo inalambricos bluetooth xt95 pro,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,102900,China,Mobil accessories
703,audifonos originales huawei am115 conector 3.5mm manoslibres,HUAWEI,Headphones,wire,No-gamer,0.0,4.5,54990,China,Mobil accessories
707,audifonos jbl tune t510bt bluetooth,JBL,Headphones,bluetooth,No-gamer,0.0,4.5,219900,USA,high-end
709,audifonos xiaomi mi true wireless earbuds basic,XIAOMI,in-ear,wire,No-gamer,0.0,4.5,89900,China,Mobil accessories
712,audifonos xiaomi mi dual drivers dynamic 100% originales hd,XIAOMI,Headphones,wire,No-gamer,0.0,4.5,78800,China,Mobil accessories
713,audifonos sony con funcion manos libres - mdr-zx110ap,SONY,in-ear,wire,No-gamer,0.0,4.5,61900,Japan,high-end
714,audifonos auricular alambricos manos libres microfono 3.5mm,OTHER,in-ear,wire,No-gamer,0.0,4.5,18814,China,Other
716,auriculares inpods 12 tws bluetooth 5.0 touch,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,49900,China,Other
719,audifonos in-ear skullcandy ink'd 2 gray y cyan,SKULLCANDY,in-ear,wire,No-gamer,0.0,4.5,120500,USA,high-end
720,audifonos originales samsung note 10 akg garantia 3 meses,SAMSUNG,Headphones,wire,No-gamer,0.0,4.5,109990,Korea,Mobil accessories
726,audifonos lenovo x5 conduccion osea sumergibles memoria 8gb,LENOVO,Headphones,wire,No-gamer,0.0,4.5,239900,China,Mobil accessories
732,audifonos inalambricos aftershokz openmove azul,AFTERSHOKZ,Headphones,bluetooth,No-gamer,25.0,4.5,439900,USA,high-end
737,redmi airdotspro bluetooth 5.0 control touch,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,50000,China,Other
741,audifonos gamer inalambricos logitech g series g733 kda con luz  rgb led,LOGITECH,Headphones,bluetooth,gamer,84.0,4.5,745900,Swiss,high-end
742,audifonos in-ear inalambricos xiaomi redmi airdots 2 negro,XIAOMI,in-ear,bluetooth,No-gamer,0.0,4.5,89900,China,Mobil accessories
743,estuche audifonos diadema sony audiotechnica bose sennheiser,BOSE,Headphones,wire,No-gamer,0.0,4.5,79900,USA,professional
745,audifonos inalambricos bose quietcomfort 35 black,BOSE,Headphones,bluetooth,No-gamer,18.0,4.5,2113702,USA,professional
746,audifonos 100% lenovo xt95 pro gaming bluetooth blanco ya!! ,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,106900,China,Mobil accessories
748,audifonos inalambricos lenovo livepods lp40 pro ,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,99000,China,Mobil accessories
760,audifonos inalambricos jbl tune 110bt white,JBL,Headphones,bluetooth,No-gamer,98.0,4.5,154900,USA,high-end
761,audifonos samsung galaxy j1 j3 j5 j7 prime ace manos libres,SAMSUNG,in-ear,wire,No-gamer,0.0,4.5,24990,Korea,Mobil accessories
762,audifonos lenovo inalambricos bluetooth livepods lp40 pro,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,92000,China,Mobil accessories
764,audifonos jbl endurance race deportivos 30 horas bateria ,JBL,Headphones,wire,No-gamer,0.0,4.5,398500,USA,high-end
767,manos libres samsung s10  akg originales,SAMSUNG,in-ear,wire,No-gamer,0.0,4.5,52250,Korea,Mobil accessories
769,audifonos gamer inalambricos p30. sonido hi-fi,OTHER,Headphones,bluetooth,gamer,0.0,4.5,80000,China,Other
770,straps para airpods correa antiperdida cable audifonos hook,APPLE,in-ear,wire,No-gamer,0.0,4.5,9500,USA,Mobil accessories
774,xiaomi redmi airdots 2 100% originales - bluetooth 5.0 ,XIAOMI,Headphones,bluetooth,No-gamer,0.0,4.5,90900,China,Mobil accessories
775,audifonos beats flex - amarillo citrico,BEATS,Headphones,wire,No-gamer,52.0,4.5,359550,USA,high-end
778,audifonos samsung itfit a08c,SAMSUNG,Headphones,wire,No-gamer,0.0,4.5,79800,Korea,Mobil accessories
779,audifonos jbl free work from home mic 40mm,JBL,Headphones,wire,No-gamer,0.0,4.5,179900,USA,high-end
780,audifonos earbuds r9 sonido 9d tws bt 5.1 - powerbank ,OTHER,in-ear,wire,No-gamer,0.0,4.5,79900,China,Other
782,"airpods pro 2da generacion - nuevos sellados, originales!!",APPLE,in-ear,wire,No-gamer,0.0,4.5,1349990,USA,Mobil accessories
787,audifonos beyerdynamic dt 770 pro 80 ohm negro y gris,BEYERDYNAMIC,Headphones,wire,No-gamer,0.0,4.5,1017990,Germany,professional
789,audifonos in-ear inalambricos jbl tune 220tws negro,JBL,in-ear,bluetooth,No-gamer,9.0,4.5,432900,USA,high-end
793,audifonos lenovo xt90 tws earbuds bluetooth inalambricos ,LENOVO,in-ear,bluetooth,No-gamer,0.0,4.5,81900,China,Mobil accessories
794,audifonos bluetooth jbl tune215bt 16 horas tipo c ergonomico,JBL,Headphones,bluetooth,No-gamer,0.0,4.5,189900,USA,high-end
795,airpods pro 2da generacion 2022,APPLE,in-ear,wire,No-gamer,0.0,4.5,1470000,USA,Mobil accessories
796,audifonos sony linkbuds s noise cancelling | wf-ls900n,SONY,Headphones,wire,No-gamer,0.0,4.5,1129900,Japan,high-end
799,audifonos in-ear xiaomi mi capsule earphones original,XIAOMI,in-ear,wire,No-gamer,0.0,4.5,44890,China,Mobil accessories
801,audifonos inalambricos bluetooth xiaomi redmi buds essential,XIAOMI,Headphones,bluetooth,No-gamer,0.0,4.5,119890,China,Mobil accessories
803, audifonos inalambricos bluetooth xiaomi redmi buds 3 lite,XIAOMI,Headphones,bluetooth,No-gamer,0.0,4.5,154900,China,Mobil accessories
804,"audifonos diadema bluetooth v5.0 / 25h, motorola moto x500+",MOTOROLA,Headphones,bluetooth,No-gamer,0.0,4.5,184900,USA,Mobil accessories
805,auriculares earbuds l12 tws bt 5.0,OTHER,in-ear,wire,No-gamer,0.0,4.5,75900,China,Other
806,audifonos inalambricos f9-5 negro bluetooth 5.1 tactil,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,39800,China,Other
807,audifonos gamer logitech g series g335 mint,LOGITECH,Headphones,wire,gamer,32.0,4.5,262000,Swiss,high-end
814,audifonos manos libres con cable 3.5 jack blancos alambricos,OTHER,in-ear,wire,No-gamer,0.0,4.5,7900,China,Other
819,headset gamer logitech g series g432 black,LOGITECH,Headphones,wire,gamer,33.0,4.5,328429,Swiss,high-end
820,audifonos tipo c samsung originales akg mic cable blindado ,SAMSUNG,Headphones,wire,No-gamer,0.0,4.5,79990,Korea,Mobil accessories
822,apple earpods con conector lightning iphone 12 13 ipad ,APPLE,Headphones,wire,No-gamer,0.0,4.5,85000,USA,Mobil accessories
824,audifonos gamer inalambricos logitech g series g733 azul con luz  rgb led,LOGITECH,Headphones,bluetooth,gamer,84.0,4.5,632900,Swiss,high-end
828,maxell audifo in-tips in ear stereo buds w/mic red,MAXELL,Headphones,wire,No-gamer,0.0,4.5,22800,Japan,Mobil accessories
829,audifonos inalambricos bluetooth lenovo livepods lp40 pro ,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,80800,China,Mobil accessories
831,"auriculares lenovo  para videojuegos, alta calidad ",LENOVO,Headphones,wire,No-gamer,0.0,4.5,145000,China,Mobil accessories
832,audifonos inalambricos jbl tune 500bt azul,JBL,Headphones,bluetooth,No-gamer,522.0,4.5,208900,USA,high-end
836,straps para airpods correa antiperdida magnetico earhook aud,APPLE,in-ear,wire,No-gamer,0.0,4.5,12500,USA,Mobil accessories
837,audifonos 8d bluetooth 5.0 tocuh inalambrico power bank 2020,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,74900,China,Other
838,audifonos inalambricos tws haylou moripods (t33) bt 5.2,HAYLOU,Headphones,bluetooth,No-gamer,0.0,4.5,129900,China,Mobil accessories
841,audifonos f9 inalambricos tws banco de carga bluetooth 5.0,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,44900,China,Other
850,audifonos a6s tws recargable bluetooth 5.0 mini manos libres,OTHER,in-ear,bluetooth,No-gamer,0.0,4.5,55000,China,Other
851,audifonos inalambricos jbl c330 tws in-ear bluetooth,JBL,in-ear,bluetooth,No-gamer,0.0,4.5,155000,USA,high-end
852,audifonos inalambricos lenovo lp40 pro bluetooth originales ,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,78999,China,Mobil accessories
854,audifonos inalambricos lenovo thinkplus live pods xt96,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,100000,China,Mobil accessories
855,audifonos gamer inalambricos logitech g series g733 lila con luz  rgb led,LOGITECH,Headphones,bluetooth,gamer,84.0,4.5,638900,Swiss,high-end
861,audifonos in-ear inalambricos samsung galaxy buds live mystic bronze,SAMSUNG,in-ear,bluetooth,No-gamer,117.0,4.5,486900,Korea,Mobil accessories
865,audifonos manos libres xiaomi mi in-ear headphones basic ,XIAOMI,in-ear,wire,No-gamer,0.0,4.5,29900,China,Mobil accessories
873,audifonos calidad entrada 3.5mm control volumen blancos,OTHER,Headphones,wire,No-gamer,0.0,4.5,7500,China,Other
882,audifonos inalambricos lenovo thinkplus lp40 pro  bt 5.1,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,79000,China,Mobil accessories
885,audifonos in-ear inalambricos apple beats studio buds rojo beats,BEATS,in-ear,bluetooth,No-gamer,0.0,4.5,1030000,USA,high-end
889,audifonos beats studio³ wireless - white,BEATS,Headphones,wire,No-gamer,9.0,4.5,1799900,USA,high-end
891,cable de repuesto para bose qc35 qc25 oe2 soundtrue ae2,BOSE,Headphones,wire,No-gamer,0.0,4.5,39900,USA,professional
893,audifonos lenovo xt81 thinkplus livepods bluetooth 5.3,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,80000,China,Mobil accessories
894,correa magnetica para audifonos airpods antiperdida anticaid,APPLE,in-ear,wire,No-gamer,0.0,4.5,9990,USA,Mobil accessories
897,audifonos samsung inalambricos in ear galaxy buds live,SAMSUNG,Headphones,bluetooth,No-gamer,0.0,4.5,263200,Korea,Mobil accessories
898,audifonos inalambricos pioneer hdj-x5bt dorado,PIONEER,Headphones,bluetooth,No-gamer,0.0,4.5,990000,Japan,professional
900,audifonos beats ep - negro,BEATS,Headphones,wire,No-gamer,26.0,4.5,520000,USA,high-end
907,audifonos in-ear inalambricos xiaomi redmi buds 3 pro - gray,XIAOMI,in-ear,bluetooth,No-gamer,0.0,4.5,299980,China,Mobil accessories
909,audifonos inalambricos sony wf-sp700n negro,SONY,Headphones,bluetooth,No-gamer,8.0,4.5,425634,Japan,high-end
910,audifonos gamer logitech g series g335 blanco,LOGITECH,Headphones,wire,gamer,32.0,4.5,270000,Swiss,high-end
911,audifonos bluetooth xiaomi buds 3 pro original ,XIAOMI,Headphones,bluetooth,No-gamer,0.0,4.5,399900,China,Mobil accessories
912,audifonos lenovo inalambricos bluetooth hx106,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,95000,China,Mobil accessories
922,audifonos in-ear inalambricos samsung galaxy buds 2 graphite,SAMSUNG,in-ear,bluetooth,No-gamer,0.0,4.5,299900,Korea,Mobil accessories
926,audifonos bluetooth 5.0 tws i99 touch inear control+pantalla,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,54900,China,Other
930,audifonos jbl quantum 50,JBL,Headphones,wire,No-gamer,0.0,4.5,129900,USA,high-end
931,audifonos motorola moto xt120,MOTOROLA,Headphones,wire,No-gamer,0.0,4.5,69035,USA,Mobil accessories
933,audifonos in-ear inalambricos lenovo livepods lp40 pro ,LENOVO,in-ear,bluetooth,No-gamer,0.0,4.5,80000,China,Mobil accessories
934,audifono sennheiser m3ietw2 momentum true wireless 2 negro ,SENNHEISER,Headphones,wire,No-gamer,0.0,4.5,1299900,Germany,high-end
935,audifonos tipo diadema alambrico sony extra bass -xb450,SONY,Headphones,wire,No-gamer,0.0,4.5,34000,Japan,high-end
937,audifonos auriculares inalambricos airpods pro 5s,APPLE,in-ear,bluetooth,No-gamer,0.0,4.5,98900,USA,Mobil accessories
940,audifono sennheiser 400s alambrico con microfono,SENNHEISER,Headphones,wire,No-gamer,0.0,4.5,339900,Germany,high-end
945,audifonos sony con funcion de manos libres - mdr-zx310ap,SONY,in-ear,wire,No-gamer,0.0,4.5,74900,Japan,high-end
946,manos libres lenovo thinkplus livepods bh4,LENOVO,in-ear,wire,No-gamer,0.0,4.5,119900,China,Mobil accessories
947,auriculares conduccion osea bt5.0 llamada musica sport,OTHER,Headphones,wire,No-gamer,0.0,4.5,71970,China,Other
955,audifonos gamer logitech g series g433 black,LOGITECH,Headphones,wire,gamer,57.0,4.5,399900,Swiss,high-end
960,audifonos inalambricos maxell metalz eb - bt750,MAXELL,Headphones,bluetooth,No-gamer,0.0,4.5,69900,Japan,Mobil accessories
963,"audifonos inalambricos lenovo xt80. bluetooth 5,2 entrega in",LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,140000,China,Mobil accessories
965,airpods pro 2nd generation version 2023 ,APPLE,in-ear,wire,No-gamer,0.0,4.5,249000,USA,Mobil accessories
971,auriculares gamer inalambricos bluetooth 5.1 hifi tactil,OTHER,Headphones,bluetooth,gamer,0.0,4.5,59900,China,Other
973,audifonos m19 bluetooth 5.1 tactil inalambricos power bank,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,94900,China,Other
974,audifonos inalambricos lenovo sh1 deportivos bluetooth 5.0,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,64900,China,Mobil accessories
983,maxell audifo solid eb-bt100 inalamb bluetooth c/ mic carbon,MAXELL,Headphones,bluetooth,No-gamer,0.0,4.5,73900,Japan,Mobil accessories
985,audifonos in-ear inalambricos sony wf-sp800n blanco,SONY,in-ear,bluetooth,No-gamer,31.0,4.5,1099900,Japan,high-end
986,audifonos originales blancos huawei type 0300,HUAWEI,Headphones,wire,No-gamer,0.0,4.5,30000,China,Mobil accessories
987,audifonos audio-technica ath-m40x estudio profesionales ,AUDIO-TECHNICA,Headphones,wire,No-gamer,0.0,4.5,647000,Japan,professional
989,portatil lenovo amd 3020e 128gb ssd+ 1 tera 4gb ram vega 3,LENOVO,Headphones,wire,No-gamer,0.0,4.5,1149000,China,Mobil accessories
990,samsung audifonos in-ear inalambricosgalaxy buds2 lila,SAMSUNG,in-ear,bluetooth,No-gamer,0.0,4.5,419920,Korea,Mobil accessories
991,audifonos magneticos lenovo he05 deportivos ipx5 bluetooth,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,59500,China,Mobil accessories
992,audifonos lenovo thinkplus live pods x16 - super precio!!,LENOVO,Headphones,wire,No-gamer,0.0,4.5,109900,China,Mobil accessories
995,"manos libres akg note 10, 10 plus originales",AKG,in-ear,wire,No-gamer,0.0,4.5,69000,Austria,high-end
997,audifonos tipo aidpods tactil bluetooth con diseño animado.,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,52000,China,Other
1002,"audifonos lenovo, inalambricos pd1x, in-ear bluetooth 5.0 hd",LENOVO,in-ear,bluetooth,No-gamer,0.0,4.5,110000,China,Mobil accessories
1003,audifonos bluetooth 5.0 con cancelacion de ruido y microfono,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,44900,China,Other
1019,audifonos in-ear inalambricos samsung galaxy buds negro,SAMSUNG,in-ear,bluetooth,No-gamer,100.0,4.5,539000,Korea,Mobil accessories
1020,audifono deportivo inalambrico bt 5.0,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,35900,China,Other
1021,audifonos inalambricos lenovo x4 bluetooth earbuds 9d,LENOVO,in-ear,bluetooth,No-gamer,0.0,4.5,209990,China,Mobil accessories
1024,audifonos conducciòn osea deportivos bluetooth impermeable.,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,110000,China,Other
1030,audifonos calidad entrada 3.5mm control volumen blanco color,OTHER,Headphones,wire,No-gamer,0.0,4.5,7500,China,Other
1033,audifonos samsung galaxy buds 2 - negro,SAMSUNG,Headphones,wire,No-gamer,0.0,4.5,379900,Korea,Mobil accessories
1039,portatil dell 3505 ryzen 5 3450u 16gb ssd 256+1tb 15.6 win10,OTHER,Headphones,wire,No-gamer,0.0,4.5,2992900,China,Other
1040,audifonos manos libres samsung galaxy s20 fe usb- c,SAMSUNG,in-ear,wire,No-gamer,0.0,4.5,59900,Korea,Mobil accessories
1041,audifonos inalambricos skullcandy ink'd wireless white y gray,SKULLCANDY,Headphones,bluetooth,No-gamer,0.0,4.5,253900,USA,high-end
1043,diadema inalambrica logitech g535 lightspeed auriculares ,LOGITECH,Headphones,wire,No-gamer,0.0,4.5,599000,Swiss,high-end
1049,audifonos inalambricos compatible con iphone xiaomi samsung,SAMSUNG,Headphones,bluetooth,No-gamer,0.0,4.5,79900,Korea,Mobil accessories
1050,audifonos sony tipo banda para la cabeza - mdr-zx110,SONY,Headphones,wire,No-gamer,0.0,4.5,50900,Japan,high-end
1052,maxell audifo solid+ sin-8 c/microf blue,MAXELL,Headphones,wire,No-gamer,0.0,4.5,49900,Japan,Mobil accessories
1053,audifonos manos libres samsung akg s21/s21 ultra/s21plus,SAMSUNG,in-ear,wire,No-gamer,0.0,4.5,69000,Korea,Mobil accessories
1055,audifonos inalambricos tws xiaomi redmi buds 3 lite bt 5.2,XIAOMI,Headphones,bluetooth,No-gamer,0.0,4.5,89900,China,Mobil accessories
1056,audifonos lenovo de conduccion osea x3 pro,LENOVO,Headphones,wire,No-gamer,0.0,4.5,180000,China,Mobil accessories
1059,airpods pro segunda generacion  open box.,APPLE,in-ear,wire,No-gamer,0.0,4.5,1060000,USA,Mobil accessories
1061,airpods pro (2ª generacion) aaa,APPLE,in-ear,wire,No-gamer,0.0,4.5,209900,USA,Mobil accessories
1063,audifonos 100% lenovo livepods lp75 bluetooth 5.3 negro ,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,118500,China,Mobil accessories
1065,"xiaomi redmi buds 3 lite, auriculares in-ear / bluetooth",XIAOMI,in-ear,bluetooth,No-gamer,0.0,4.5,94900,China,Mobil accessories
1066,audifonos inalambricos skullcandy hesh 3 black,SKULLCANDY,Headphones,bluetooth,No-gamer,0.0,4.5,474550,USA,high-end
1067,audifonos xiaomi redmi buds 3 lite negro inalambricos,XIAOMI,Headphones,bluetooth,No-gamer,0.0,4.5,109500,China,Mobil accessories
1068,auriculares audifonos jbl t110 pure bass manos libres ,JBL,in-ear,wire,No-gamer,0.0,4.5,51700,USA,high-end
1069,audifonos inalambricos lenovo lp40 blanco bluetooth 5.0,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,70000,China,Mobil accessories
1070,auriculares de conduccion osea lenovo x4,LENOVO,Headphones,wire,No-gamer,0.0,4.5,173500,China,Mobil accessories
1071,audifonos gamer g11 sonido 9d tws bt 5.0 puerto tipo c,OTHER,Headphones,wire,gamer,0.0,4.5,54990,China,Other
1075,audifonos lenovo xt90 tws earbuds bluetooth inalambricos,LENOVO,in-ear,bluetooth,No-gamer,0.0,4.5,99900,China,Mobil accessories
1076,audifonos inalambricos con bluetooth 5.0 bluetooth estereo,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,45000,China,Other
1079,audifonos inalambricos skullcandy ink'd wireless black y gray,SKULLCANDY,Headphones,bluetooth,No-gamer,0.0,4.5,235900,USA,high-end
1082,audifonos in-ear inalambricos samsung galaxy buds+ negro,SAMSUNG,in-ear,bluetooth,No-gamer,0.0,4.5,140000,Korea,Mobil accessories
1083,lenovo bone headphone x4,LENOVO,Headphones,wire,No-gamer,0.0,4.5,158000,China,Mobil accessories
1086,audifonos lenovo ht05 tws auriculares bluetooth inalambricos,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,89900,China,Mobil accessories
1089,audifonos inalambricos jbl tune 750btnc white,JBL,Headphones,bluetooth,No-gamer,46.0,4.5,399900,USA,high-end
1091,audifonos inalambrico haylou gt1 pro tws bluetooth 5.0 touch,HAYLOU,Headphones,bluetooth,No-gamer,0.0,4.5,109900,China,Mobil accessories
1094,audifonos inalambricos aftershokz openmove blanco,AFTERSHOKZ,Headphones,bluetooth,No-gamer,25.0,4.5,463900,USA,high-end
1099,audifonos inalambricos bluetooth lenovo gamer gm2 pro live,LENOVO,Headphones,bluetooth,gamer,0.0,4.5,84900,China,Mobil accessories
1100,audifonos sony bluetooth y nfc noise cancelling | wh-ch710n,SONY,Headphones,bluetooth,No-gamer,0.0,4.5,849900,Japan,high-end
1101,audifonos inalambricos samsung galaxy buds live mystic black,SAMSUNG,Headphones,bluetooth,No-gamer,0.0,4.5,268000,Korea,Mobil accessories
1103,audifonos in-ear inalambricos huawei freebuds 4i silver frost,HUAWEI,in-ear,bluetooth,No-gamer,149.0,4.5,479900,China,Mobil accessories
1105,md04 conduccion osea bt5.0 auricular ruido de desgaste indol,OTHER,Headphones,wire,No-gamer,0.0,4.5,110802,China,Other
1108,manos libres audifonos samsung akg s8 s9 s10 note 9 original,SAMSUNG,in-ear,wire,No-gamer,0.0,4.5,44000,Korea,Mobil accessories
