,Title,Brand,design,conn,Use,Num_reviews,rating,Price,country,segment
308,"lenovo-auriculares inalambricos sh1 con bluetooth 5,0,",LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,59900,China,Mobil accessories
312,audifonos in-ear inalambricos lenovo thinkplus livepods xt88,LENOVO,in-ear,bluetooth,No-gamer,0.0,4.5,78000,China,Mobil accessories
314,audifonos 100% honor xsport am61 inalambricos bluetooth ya!!,HONOR,Headphones,bluetooth,No-gamer,0.0,4.5,178900,China,Mobil accessories
315,audifono sennheiser hd 250bt bt 5.0 hasta 25 hrs de uso ,SENNHEISER,Headphones,wire,No-gamer,20.0,4.5,239900,Germany,high-end
317,auriculares magneticos audifonos manos libres bluetooth 4.2,OTHER,in-ear,bluetooth,No-gamer,0.0,4.5,12000,China,Other
318,audifonos gamer inalambricos jbl quantum 800 negro con luz led,JBL,Headphones,bluetooth,gamer,0.0,4.5,999900,USA,high-end
321,audifonos beats powerbeats pro totalmente inalambricos - azul marino,BEATS,Headphones,bluetooth,No-gamer,11.0,4.5,990000,USA,high-end
322,audifonos manos libres xiaomi piston fresh original,XIAOMI,in-ear,wire,No-gamer,0.0,4.5,34999,China,Mobil accessories
325,audifonos gamer logitech g pro negro,LOGITECH,Headphones,wire,gamer,15.0,4.5,402900,Swiss,high-end
326,audifonos con microfono maxell conexion tipo-c/adaptador usb,MAXELL,Headphones,wire,No-gamer,0.0,4.5,49717,Japan,Mobil accessories
327,audifono aiwa awx107b diadema alambrico 1.2mts estereo negro color negro,OTHER,Headphones,wire,No-gamer,71.0,4.5,49900,China,Other
330,"audifonos akg samsung s22/22/+/ultra,s21/21+,21ultra,note20",SAMSUNG,Headphones,wire,No-gamer,0.0,4.5,69000,Korea,Mobil accessories
332,audifonos bluetooth xiaomi redmi buds 3 tws + estuche,XIAOMI,Headphones,bluetooth,No-gamer,0.0,4.5,192690,China,Mobil accessories
333,audifonos in ear inalambricos tws maxell bluetooth mini duo negro,MAXELL,Headphones,bluetooth,No-gamer,15.0,4.5,102900,Japan,Mobil accessories
335,audifono auricular inalambrico empresarial bluetooth 5.0,OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,104990,China,Other
338,audifonos pioneer hdj-x7 black,PIONEER,Headphones,wire,No-gamer,0.0,4.5,1131990,Japan,professional
340,audifonos sony bluetooth noise cancelling | wh-1000xm5,SONY,Headphones,bluetooth,No-gamer,0.0,4.5,2249900,Japan,high-end
341,audifonos originales samsung galaxy j1 j3 j5 j7 prime ace,SAMSUNG,Headphones,wire,No-gamer,0.0,4.5,24990,Korea,Mobil accessories
345,audifonos xiaomi mi dual drivers dynamic hd original,XIAOMI,Headphones,wire,No-gamer,0.0,4.5,74890,China,Mobil accessories
346,audifonos pioneer hdj-x5 black,PIONEER,Headphones,wire,No-gamer,10.0,4.5,595000,Japan,professional
347,audifonos bluetooth xiaomi air2 se originales,XIAOMI,Headphones,bluetooth,No-gamer,0.0,4.5,119900,China,Mobil accessories
348,"logitech z313, altavoces 2.1 de sonido potente y equilibrado voltaje 110v color negro",LOGITECH,Headphones,wire,No-gamer,194.0,4.5,230900,Swiss,high-end
351,audifonos para iphone 7 en adelante 100% originales.,OTHER,Headphones,wire,No-gamer,0.0,4.5,103000,China,Other
354,"audifonos, auriculares bluetooth 4.1 magneticos, black",OTHER,Headphones,bluetooth,No-gamer,0.0,4.5,13990,China,Other
356,audifonos inalambricos jbl tune 110bt black,JBL,Headphones,bluetooth,No-gamer,98.0,4.5,150000,USA,high-end
358,audifonos lenovo bluetooth con microfono cancelacion ruido. ,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,110000,China,Mobil accessories
359,audifonos in-ear jbl tune t205 black,JBL,in-ear,wire,No-gamer,64.0,4.5,128000,USA,high-end
361,audifonos audio-technica m-series ath-m50x naranja metalizado,AUDIO-TECHNICA,Headphones,wire,No-gamer,75.0,4.5,1025000,Japan,professional
362,audifono bluetooth motorola moto sp105,MOTOROLA,Headphones,bluetooth,No-gamer,17.0,4.5,199900,USA,Mobil accessories
364,audifonos inalambricos sony wh-ch510 negro,SONY,Headphones,bluetooth,No-gamer,686.0,4.5,341900,Japan,high-end
368,apple a.a.a. airpods 3 generacion 2022 ,APPLE,in-ear,wire,No-gamer,0.0,4.5,159000,USA,Mobil accessories
369,audifonos in-ear inalambricos sony wf-xb700 negro,SONY,in-ear,bluetooth,No-gamer,210.0,4.5,749000,Japan,high-end
372,audifonos in-ear sony ex series mdr-ex15ap negro,SONY,in-ear,wire,No-gamer,554.0,4.5,113900,Japan,high-end
373,manos libres samsung akg usb tipoc originales,SAMSUNG,in-ear,wire,No-gamer,0.0,4.5,60000,Korea,Mobil accessories
375,auriculares in-ear lenovo thinkplus lp40 pro - blanco ,LENOVO,in-ear,wire,No-gamer,0.0,4.5,100000,China,Mobil accessories
376,audifonos inalambricos sony wh-ch510 azul,SONY,Headphones,bluetooth,No-gamer,686.0,4.5,406990,Japan,high-end
377,audifonos premium lenovo gaming + estuche entrega inmediata,LENOVO,Headphones,wire,No-gamer,0.0,4.5,199999,China,Mobil accessories
378,audifonos beats flex - beats azabache,BEATS,Headphones,wire,No-gamer,52.0,4.5,359550,USA,high-end
382,audifonos sony noise cancelling bluetooth hi-res wh-1000xm4,SONY,Headphones,bluetooth,No-gamer,0.0,4.5,1809902,Japan,high-end
383,audifonos bluetooth motorola verve rap 100 siri alexa ipx5,MOTOROLA,Headphones,bluetooth,No-gamer,93.0,4.5,279999,USA,Mobil accessories
384,audifonos sony bluetooth con funcion manos libres - wh-ch510,SONY,in-ear,bluetooth,No-gamer,0.0,4.5,229900,Japan,high-end
386,audifonos samsung inalambricos bluetooth c&t itfit a08c,SAMSUNG,Headphones,bluetooth,No-gamer,0.0,4.5,70055,Korea,Mobil accessories
387,audifonos in-ear inalambricos jbl tune 115tws black,JBL,in-ear,bluetooth,No-gamer,15.0,4.5,279900,USA,high-end
388,audifonos inalambricos aftershokz aeropex standard cosmic black,AFTERSHOKZ,Headphones,bluetooth,No-gamer,70.0,4.5,929999,USA,high-end
390,audifonos sony zx series mdr-zx310ap blue,SONY,Headphones,wire,No-gamer,900.0,4.5,174500,Japan,high-end
